0,1
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011f\g06-011f-00.png,By the end of the month he still delighted in Naples . He
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011b\g06-011b-10.png,"a favourable change in my eye ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-078a\h07-078a-02.png,the # buoyancy of industry generates increasing
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-045l\g06-045l-01.png,"diplomatist Lord Ponsonby , had written to advise Anglesey"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-045o\g06-045o-05.png,"success in France and Italy , and that"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047m\g06-047m-06.png,"Europe . One of these was the Neapolitan ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-026n\g06-026n-04.png,While he was writing this letter he
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-058x\a01-058x-07.png,pay more . He did not mention personal
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031g\g06-031g-02.png,"tremble for my country ! I may be mistaken , 1tho' I cannot"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-042c\g06-042c-05.png,homoeopathy had been brought to his notice .
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-000b\c03-000b-04.png,"Miss Delaney of the script , and the great advantages"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050n\g06-050n-05.png,Hahnemann that he found Anglesey
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-066b\h07-066b-00.png,"Local offices of the Ministry of Labour , Ministry of"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-058u\a01-058u-01.png,over West Germany's cash offer to help
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-010b\g07-010b-03.png,Gamba's letters deposited among the Murray manuscripts show
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-021a\c03-021a-06.png,hour of need . He shares her room and gives
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-068u\a01-068u-01.png,that they cannot pay more than 357million
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050o\g06-050o-04.png,symptoms . He told Hahnemann that he found
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-058u\a01-058u-06.png,would try to get Germany to pay more . He
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037b\g06-037b-02.png,"Sir R. Peel was here , I understand , but"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-101a\f07-101a-01.png,AFTER MENTIONING THAT HE HAD DINED WITH
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-000x\a01-000x-01.png,any more Labour life Peers is to be made at a
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037r\g06-037r-07.png,been subjected ever since the symptoms had first
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037k\g06-037k-07.png,had been subjected ever since the symptoms had
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-063b\h07-063b-05.png,"Majesty's Stationery Office at Basildon , the"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047f\g06-047f-03.png,unorthodox medical men in the cities of Europe . One of these was
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-028a\f07-028a-07.png,"in the preparation of stimulants for the palate ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-020u\a01-020u-06.png,seeking . African delegates are studying
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-026n\g06-026n-00.png,A pleasant life truly ! ... It so happens that
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-032a\f07-032a-03.png,ethereal enjoyment to the grosser pleasures of the
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011o\g06-011o-04.png,resource . Vesuvius seems to be tired ; he is going
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-037a\h07-037a-06.png,of towns and has added to the interest of the
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-016e\c03-016e-03.png,"slatternly , promiscuous mother . In such"
h:/Desktop_Files/CSE472/Project/Dataset\lines\k07\k07-067a\k07-067a-02.png,a cigarette . His face was white with two red
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031f\g06-031f-01.png,"Personally I am indifferent , but I really tremble for my country ! I may"
